id,title,address,district_id,lat,lon,area,price,price_per_m2,state,url
4908884,PREDAJ: PRIESTRANNÝ A PRAKTICKÝ 2i BYT BA-PODUNAJSKÉ BISKUPICE (3D OBHLIADKA),Hronská,bratislava-ii-podunajske-biskupice,48.1335572,17.2108078,54.0,164990.0,3055.3703703703704,čiastočná rekonštrukcia,https://www.nehnutelnosti.sk/4908884/predaj-priestranny-a-prakticky-2i-byt-ba-podunajske-biskupice-3d-obhliadka/
4915429,2-izbový byt v novom projekte ByvanieSvornosti Byt F2,Svornosti,bratislava-ii-podunajske-biskupice,48.122093,17.203893,-1.0,188770.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4915429/2-izbovy-byt-v-novom-projekte-byvaniesvornosti-byt-f2/
4915428,2-izbový byt v novom projekte ByvanieSvornosti Byt D2,Svornosti,bratislava-ii-podunajske-biskupice,48.122093,17.203893,-1.0,-1.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4915428/2-izbovy-byt-v-novom-projekte-byvaniesvornosti-byt-d2/
4915427,2-izbový byt v novom projekte ByvanieSvornosti Byt E2,Svornosti,bratislava-ii-podunajske-biskupice,48.122093,17.203893,-1.0,165450.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4915427/2-izbovy-byt-v-novom-projekte-byvaniesvornosti-byt-e2/
4905760,360° VR - exkluzívne ponúkame na predaj útulný 2-izbový byt v Bratislave,Priekopnícka,bratislava-ii-podunajske-biskupice,48.142822,17.202795,-1.0,129900.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4905760/360-vr-exkluzivne-ponukame-na-predaj-utulny-2-izbovy-byt-v-bratislave/
4817145,"Geologicka ul., novší dvojizový byt vo výbornej lokalite",Geologická,bratislava-ii-podunajske-biskupice,48.1385494,17.1955959,-1.0,-1.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4817145/geologicka-ul-novsi-dvojizovy-byt-vo-vybornej-lokalite/
4896937,2-izbový byt v novom projekte ByvanieSvornosti Byt C2,Svornosti,bratislava-ii-podunajske-biskupice,48.122093,17.203893,-1.0,165450.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4896937/2-izbovy-byt-v-novom-projekte-byvaniesvornosti-byt-c2/
4896936,2-izbový byt v novom projekte ByvanieSvornosti Byt B2,Svornosti,bratislava-ii-podunajske-biskupice,48.122093,17.203893,-1.0,155320.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4896936/2-izbovy-byt-v-novom-projekte-byvaniesvornosti-byt-b2/
4932060,"BA-Ružinov - Nivy, 2i byt, 67 m2 – kompletná rekonštrukcia, tehla, možnosť prerobiť na 3-izbový",Košická,bratislava-ii-ruzinov,48.15076547,17.1345546,67.0,232000.0,3462.686567164179,kompletná rekonštrukcia,https://www.nehnutelnosti.sk/4932060/ba-ruzinov-nivy-2i-byt-67-m2-kompletna-rekonstrukcia-tehla-moznost-prerobit-na-3-izbovy/
4953649,HERRYS - Na predaj 2 izbový apartmán v čerstvo skolaudovanej novostavbe s garážovým státím,Bazová,bratislava-ii-ruzinov,48.15171572,17.12713916,-1.0,280000.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4953649/herrys-na-predaj-2-izbovy-apartman-v-cerstvo-skolaudovanej-novostavbe-s-garazovym-statim/
